algorithm,generation style,problem size,solution size,duration (s)
jarvis march,radial,4,3,0.001
graham scan,radial,4,4,0.002
jarvis march,rectangular,4,4,0.0
graham scan,rectangular,4,3,0.0
jarvis march,circular,4,4,0.0
graham scan,circular,4,4,0.0
jarvis march,radial,8,5,0.0
graham scan,radial,8,6,0.0
jarvis march,rectangular,8,5,0.0
graham scan,rectangular,8,6,0.0
jarvis march,circular,8,8,0.0
graham scan,circular,8,8,0.0
jarvis march,radial,16,9,0.0
graham scan,radial,16,8,0.0
jarvis march,rectangular,16,8,0.0
graham scan,rectangular,16,6,0.0
jarvis march,circular,16,16,0.0
graham scan,circular,16,16,0.0
jarvis march,radial,32,9,0.0
graham scan,radial,32,12,0.0
jarvis march,rectangular,32,8,0.0
graham scan,rectangular,32,7,0.0
jarvis march,circular,32,32,0.0
graham scan,circular,32,32,0.0
jarvis march,radial,64,12,0.001
graham scan,radial,64,12,0.001
jarvis march,rectangular,64,11,0.0
graham scan,rectangular,64,11,0.0
jarvis march,circular,64,64,0.001
graham scan,circular,64,64,0.0
jarvis march,radial,128,15,0.001
graham scan,radial,128,18,0.0
jarvis march,rectangular,128,16,0.0
graham scan,rectangular,128,13,0.001
jarvis march,circular,128,128,0.004
graham scan,circular,128,128,0.0
jarvis march,radial,256,20,0.001
graham scan,radial,256,18,0.001
jarvis march,rectangular,256,11,0.001
graham scan,rectangular,256,16,0.001
jarvis march,circular,256,256,0.012
graham scan,circular,256,256,0.0
jarvis march,radial,512,29,0.002
graham scan,radial,512,28,0.001
jarvis march,rectangular,512,18,0.001
graham scan,rectangular,512,12,0.0
jarvis march,circular,512,512,0.039
graham scan,circular,512,512,0.0
jarvis march,radial,1024,33,0.005
graham scan,radial,1024,33,0.001
jarvis march,rectangular,1024,19,0.003
graham scan,rectangular,1024,16,0.0
jarvis march,circular,1024,1024,0.142
graham scan,circular,1024,1024,0.001
jarvis march,radial,2048,43,0.012
graham scan,radial,2048,45,0.001
jarvis march,rectangular,2048,21,0.005
graham scan,rectangular,2048,23,0.001
jarvis march,circular,2048,2048,0.569
graham scan,circular,2048,2048,0.001
jarvis march,radial,4096,62,0.035
graham scan,radial,4096,49,0.002
jarvis march,rectangular,4096,25,0.015
graham scan,rectangular,4096,18,0.002
jarvis march,circular,4096,4091,2.278
graham scan,circular,4096,4095,0.002
jarvis march,radial,8192,67,0.075
graham scan,radial,8192,70,0.004
jarvis march,rectangular,8192,23,0.026
graham scan,rectangular,8192,22,0.004
jarvis march,circular,8192,8162,9.039
graham scan,circular,8192,8161,0.002
jarvis march,radial,16384,88,0.192
graham scan,radial,16384,90,0.006
jarvis march,rectangular,16384,20,0.044
graham scan,rectangular,16384,28,0.007
jarvis march,circular,16384,16197,35.927
graham scan,circular,16384,16215,0.005
jarvis march,radial,32768,108,0.478
graham scan,radial,32768,104,0.011
jarvis march,rectangular,32768,29,0.126
graham scan,rectangular,32768,29,0.01
jarvis march,circular,32768,31740,140.747
graham scan,circular,32768,31734,0.014
jarvis march,radial,65536,141,1.248
graham scan,radial,65536,132,0.022
jarvis march,rectangular,65536,23,0.197
graham scan,rectangular,65536,32,0.021
jarvis march,circular,65536,60057,541.738
graham scan,circular,65536,59998,0.086
jarvis march,radial,131072,182,3.275
graham scan,radial,131072,176,0.052
jarvis march,rectangular,131072,27,0.466
graham scan,rectangular,131072,33,0.051
jarvis march,circular,131072,105144,1984.976
graham scan,circular,131072,105112,0.468
jarvis march,radial,262144,208,7.783
graham scan,radial,262144,222,0.127
jarvis march,rectangular,262144,38,1.394
graham scan,rectangular,262144,33,0.122
jarvis march,circular,262144,161532,6098.439
graham scan,circular,262144,161674,2.527
jarvis march,radial,524288,256,19.246
graham scan,radial,524288,264,0.294
jarvis march,rectangular,524288,38,2.813
graham scan,rectangular,524288,37,0.276
jarvis march,circular,524288,215106,16311.251
graham scan,circular,524288,214871,11.799
jarvis march,radial,1048576,334,50.297
graham scan,radial,1048576,345,0.683
jarvis march,rectangular,1048576,35,5.113
graham scan,rectangular,1048576,45,0.65
jarvis march,circular,1048576,264599,39130.044
graham scan,circular,1048576,264613,36.455
jarvis march,radial,2097152,427,125.724
graham scan,radial,2097152,438,1.531
jarvis march,rectangular,2097152,36,10.121
graham scan,rectangular,2097152,41,1.418
