algorithm,vertex count,edge count,density,cover size,duration (s)
exact exhaustive,2,0,0.0000,0,0.0004633
exact increasing size,2,0,0.0000,0,0.0000057
approximation two factor,2,0,0.0000,0,0.0010426
approximation one by one,2,0,0.0000,0,0.0000134
exact exhaustive,2,0,0.0000,0,0.0000011
exact increasing size,2,0,0.0000,0,0.0000015
approximation two factor,2,0,0.0000,0,0.0000056
approximation one by one,2,0,0.0000,0,0.0000051
exact exhaustive,2,0,0.0000,0,0.000001
exact increasing size,2,0,0.0000,0,0.0000017
approximation two factor,2,0,0.0000,0,0.0000048
approximation one by one,2,0,0.0000,0,0.0000049
exact exhaustive,2,0,0.0000,0,0.000001
exact increasing size,2,0,0.0000,0,0.0000016
approximation two factor,2,0,0.0000,0,0.000005
approximation one by one,2,0,0.0000,0,0.0000053
exact exhaustive,2,1,1.0000,1,0.0000313
exact increasing size,2,1,1.0000,1,0.000031
approximation two factor,2,1,1.0000,2,0.0000704
approximation one by one,2,1,1.0000,1,0.0000341
exact exhaustive,2,1,1.0000,1,0.0000123
exact increasing size,2,1,1.0000,1,0.0000208
approximation two factor,2,1,1.0000,2,0.0000275
approximation one by one,2,1,1.0000,1,0.0000305
exact exhaustive,2,1,1.0000,1,0.0000125
exact increasing size,2,1,1.0000,1,0.0000418
approximation two factor,2,1,1.0000,2,0.0000269
approximation one by one,2,1,1.0000,1,0.0000279
exact exhaustive,2,1,1.0000,1,0.0000135
exact increasing size,2,1,1.0000,1,0.0000283
approximation two factor,2,1,1.0000,2,0.0000356
approximation one by one,2,1,1.0000,1,0.0000245
exact exhaustive,2,0,0.0000,0,0.0000012
exact increasing size,2,0,0.0000,0,0.0000016
approximation two factor,2,0,0.0000,0,0.0000047
approximation one by one,2,0,0.0000,0,0.0000049
exact exhaustive,2,1,1.0000,1,0.0000131
exact increasing size,2,1,1.0000,1,0.0000207
approximation two factor,2,1,1.0000,2,0.000028
approximation one by one,2,1,1.0000,1,0.0000291
exact exhaustive,2,1,1.0000,1,0.000023
exact increasing size,2,1,1.0000,1,0.0000208
approximation two factor,2,1,1.0000,2,0.0000446
approximation one by one,2,1,1.0000,1,0.0000246
exact exhaustive,2,1,1.0000,1,0.000013
