algorithm,generation style,problem size,solution size,duration (s)
jarvis march,radial,4,4,0.002
graham scan,radial,4,4,0.002
jarvis march,rectangular,4,4,0.0
graham scan,rectangular,4,4,0.0
jarvis march,circular,4,4,0.0
graham scan,circular,4,4,0.0
jarvis march,radial,8,5,0.0
graham scan,radial,8,6,0.0
jarvis march,rectangular,8,5,0.0
graham scan,rectangular,8,6,0.0
jarvis march,circular,8,8,0.0
graham scan,circular,8,8,0.0
jarvis march,radial,16,8,0.0
graham scan,radial,16,6,0.0
jarvis march,rectangular,16,6,0.0
graham scan,rectangular,16,9,0.0
jarvis march,circular,16,16,0.0
graham scan,circular,16,16,0.0
jarvis march,radial,32,10,0.0
graham scan,radial,32,9,0.0
jarvis march,rectangular,32,10,0.001
graham scan,rectangular,32,8,0.0
jarvis march,circular,32,32,0.001
graham scan,circular,32,32,0.0
jarvis march,radial,64,16,0.001
graham scan,radial,64,17,0.0
jarvis march,rectangular,64,11,0.0
graham scan,rectangular,64,11,0.0
jarvis march,circular,64,64,0.001
graham scan,circular,64,64,0.0
jarvis march,radial,128,15,0.0
graham scan,radial,128,19,0.0
jarvis march,rectangular,128,14,0.001
graham scan,rectangular,128,13,0.0
jarvis march,circular,128,128,0.003
graham scan,circular,128,128,0.0
jarvis march,radial,256,19,0.001
graham scan,radial,256,23,0.0
jarvis march,rectangular,256,16,0.001
graham scan,rectangular,256,15,0.0
jarvis march,circular,256,256,0.013
graham scan,circular,256,256,0.001
jarvis march,radial,512,29,0.003
graham scan,radial,512,27,0.001
jarvis march,rectangular,512,14,0.001
graham scan,rectangular,512,15,0.0
jarvis march,circular,512,512,0.038
graham scan,circular,512,512,0.0
jarvis march,radial,1024,33,0.005
graham scan,radial,1024,34,0.001
jarvis march,rectangular,1024,21,0.003
graham scan,rectangular,1024,18,0.0
jarvis march,circular,1024,1024,0.143
graham scan,circular,1024,1024,0.001
jarvis march,radial,2048,45,0.013
graham scan,radial,2048,43,0.001
jarvis march,rectangular,2048,20,0.006
graham scan,rectangular,2048,22,0.001
jarvis march,circular,2048,2048,0.579
graham scan,circular,2048,2048,0.0
jarvis march,radial,4096,54,0.03
graham scan,radial,4096,54,0.002
jarvis march,rectangular,4096,22,0.012
graham scan,rectangular,4096,23,0.002
jarvis march,circular,4096,4092,2.327
graham scan,circular,4096,4088,0.002
jarvis march,radial,8192,63,0.07
graham scan,radial,8192,64,0.004
jarvis march,rectangular,8192,27,0.029
graham scan,rectangular,8192,25,0.004
jarvis march,circular,8192,8159,9.256
graham scan,circular,8192,8164,0.003
jarvis march,radial,16384,86,0.193
graham scan,radial,16384,79,0.007
jarvis march,rectangular,16384,24,0.052
graham scan,rectangular,16384,29,0.006
jarvis march,circular,16384,16227,36.744
graham scan,circular,16384,16205,0.005
jarvis march,radial,32768,102,0.463
graham scan,radial,32768,116,0.011
jarvis march,rectangular,32768,22,0.095
graham scan,rectangular,32768,25,0.01
jarvis march,circular,32768,31704,144.909
graham scan,circular,32768,31713,0.014
jarvis march,radial,65536,139,1.258
graham scan,radial,65536,147,0.024
jarvis march,rectangular,65536,31,0.271
graham scan,rectangular,65536,32,0.022
jarvis march,circular,65536,59995,554.838
graham scan,circular,65536,60112,0.073
jarvis march,radial,131072,169,3.112
graham scan,radial,131072,183,0.074
jarvis march,rectangular,131072,34,0.606
graham scan,rectangular,131072,38,0.052
jarvis march,circular,131072,105031,2038.783
graham scan,circular,131072,104801,0.549
jarvis march,radial,262144,224,8.645
graham scan,radial,262144,218,0.149
jarvis march,rectangular,262144,38,1.42
graham scan,rectangular,262144,37,0.127
jarvis march,circular,262144,161542,6301.659
graham scan,circular,262144,161735,2.672
jarvis march,radial,524288,278,21.354
graham scan,radial,524288,276,0.31
jarvis march,rectangular,524288,32,2.439
graham scan,rectangular,524288,40,0.285
jarvis march,circular,524288,215387,16698.504
graham scan,circular,524288,215104,10.431
jarvis march,radial,1048576,345,52.982
graham scan,radial,1048576,354,0.713
jarvis march,rectangular,1048576,30,4.526
graham scan,rectangular,1048576,33,0.672
jarvis march,circular,1048576,263943,40966.311
graham scan,circular,1048576,264843,37.976
jarvis march,radial,2097152,429,132.239
graham scan,radial,2097152,425,1.605
jarvis march,rectangular,2097152,37,11.219
graham scan,rectangular,2097152,35,1.464
jarvis march,circular,2097152,316542,98126.619
graham scan,circular,2097152,317073,102.565
jarvis march,radial,4194304,543,332.66
graham scan,radial,4194304,531,8.661
jarvis march,rectangular,4194304,37,21.908
graham scan,rectangular,4194304,46,3.24
