algorithm,generation style,point count,hull size,heuristic,duration (s)
graham scan,radial,16,7,no heuristic,0.0007433
graham scan,radial,16,7,akl toussaint,0.000782
jarvis march,rectangular,16,8,no heuristic,0.0009497
jarvis march,rectangular,16,8,akl toussaint,0.0011811
graham scan,rectangular,16,8,no heuristic,0.0003963
graham scan,rectangular,16,8,akl toussaint,0.0005055
jarvis march,circular,16,16,no heuristic,0.0008611
jarvis march,circular,16,16,akl toussaint,0.0008704
graham scan,circular,16,16,no heuristic,0.0002436
graham scan,circular,16,16,akl toussaint,0.0004907
jarvis march,radial,32,10,no heuristic,0.0009386
jarvis march,radial,32,10,akl toussaint,0.0008934
graham scan,radial,32,10,no heuristic,0.0011916
graham scan,radial,32,10,akl toussaint,0.0008285
jarvis march,rectangular,32,7,no heuristic,0.0007169
jarvis march,rectangular,32,7,akl toussaint,0.000833
graham scan,rectangular,32,7,no heuristic,0.0016
graham scan,rectangular,32,7,akl toussaint,0.0008278
jarvis march,circular,32,32,no heuristic,0.0025519
jarvis march,circular,32,32,akl toussaint,0.0058808
graham scan,circular,32,32,no heuristic,0.0004425
graham scan,circular,32,32,akl toussaint,0.0006045
jarvis march,radial,64,13,no heuristic,0.0045514
jarvis march,radial,64,13,akl toussaint,0.0015918
graham scan,radial,64,13,no heuristic,0.0010266
graham scan,radial,64,13,akl toussaint,0.0008528
jarvis march,rectangular,64,9,no heuristic,0.001149
jarvis march,rectangular,64,9,akl toussaint,0.0059837
graham scan,rectangular,64,9,no heuristic,0.0009203
graham scan,rectangular,64,9,akl toussaint,0.0010618
jarvis march,circular,64,64,no heuristic,0.0171615
jarvis march,circular,64,64,akl toussaint,0.0137084
graham scan,circular,64,64,no heuristic,0.0005637
graham scan,circular,64,64,akl toussaint,0.0037869
jarvis march,radial,128,18,no heuristic,0.0091993
jarvis march,radial,128,18,akl toussaint,0.0045009
graham scan,radial,128,18,no heuristic,0.0015863
graham scan,radial,128,18,akl toussaint,0.0061423
jarvis march,rectangular,128,11,no heuristic,0.005661
jarvis march,rectangular,128,11,akl toussaint,0.0034597
graham scan,rectangular,128,11,no heuristic,0.0016486
graham scan,rectangular,128,11,akl toussaint,0.0017021
jarvis march,circular,128,128,no heuristic,0.050575
jarvis march,circular,128,128,akl toussaint,0.0503978
graham scan,circular,128,128,no heuristic,0.00175
graham scan,circular,128,128,akl toussaint,0.0026202
jarvis march,radial,256,21,no heuristic,0.0269955
jarvis march,radial,256,21,akl toussaint,0.0212197
graham scan,radial,256,21,no heuristic,0.0030771
graham scan,radial,256,21,akl toussaint,0.0039867
jarvis march,rectangular,256,16,no heuristic,0.0058206
jarvis march,rectangular,256,16,akl toussaint,0.0043786
graham scan,rectangular,256,16,no heuristic,0.0029801
graham scan,rectangular,256,16,akl toussaint,0.0021325
jarvis march,circular,256,256,no heuristic,0.0709006
jarvis march,circular,256,256,akl toussaint,0.1247841
graham scan,circular,256,256,no heuristic,0.0033149
graham scan,circular,256,256,akl toussaint,0.0037523
jarvis march,radial,512,25,no heuristic,0.0233293
jarvis march,radial,512,25,akl toussaint,0.0227793
graham scan,radial,512,25,no heuristic,0.0057053
graham scan,radial,512,25,akl toussaint,0.0154716
jarvis march,rectangular,512,17,no heuristic,0.0130089
jarvis march,rectangular,512,17,akl toussaint,0.0090729
graham scan,rectangular,512,17,no heuristic,0.0036855
graham scan,rectangular,512,17,akl toussaint,0.0043125
jarvis march,circular,512,512,no heuristic,0.3743587
jarvis march,circular,512,512,akl toussaint,0.3179551
graham scan,circular,512,512,no heuristic,0.002289
graham scan,circular,512,512,akl toussaint,0.0032889
